"Network Size","Quorum Ratio to Network","Quorum Voting Threshold","Avg Good Quorums"
"100","0.1","0.85","0.7386999999999999"
"500","0.1","0.85","0.8908900000000001"
"1000","0.1","0.85","0.96722"
"100","0.1","0.8","0.9390699999999998"
"500","0.1","0.8","0.9939200000000001"
"1000","0.1","0.8","0.9995900000000001"
"100","0.1","0.775","0.94023"
"500","0.1","0.775","0.99817"
"1000","0.1","0.775","0.9999600000000001"
"100","0.1","0.75","0.9389200000000001"
"500","0.1","0.75","0.99947"
"1000","0.1","0.75","1.0"
"100","0.1","0.7","0.99146"
"500","0.1","0.7","1.0"
"1000","0.1","0.7","1.0"
"100","0.2","0.85","0.8896799999999999"
"500","0.2","0.85","0.97571"
"1000","0.2","0.85","0.99606"
"100","0.2","0.8","0.9751600000000001"
"500","0.2","0.8","0.9999"
"1000","0.2","0.8","1.0"
"100","0.2","0.775","0.9746099999999999"
"500","0.2","0.775","0.99999"
"1000","0.2","0.775","1.0"
"100","0.2","0.75","0.9963300000000002"
"500","0.2","0.75","1.0"
"1000","0.2","0.75","1.0"
"100","0.2","0.7","0.9996599999999999"
"500","0.2","0.7","1.0"
"1000","0.2","0.7","1.0"
"100","0.25","0.85","0.78396"
"500","0.25","0.85","0.9766800000000002"
"1000","0.25","0.85","0.99841"
"100","0.25","0.8","0.9855500000000001"
"500","0.25","0.8","0.99999"
"1000","0.25","0.8","1.0"
"100","0.25","0.775","0.9855999999999998"
"500","0.25","0.775","1.0"
"1000","0.25","0.775","1.0"
"100","0.25","0.75","0.99807"
"500","0.25","0.75","1.0"
"1000","0.25","0.75","1.0"
"100","0.25","0.7","0.9998300000000002"
"500","0.25","0.7","1.0"
"1000","0.25","0.7","1.0"
"100","0.275","0.85","0.9073599999999999"
"500","0.275","0.85","0.98655"
"1000","0.275","0.85","0.9992300000000001"
"100","0.275","0.8","0.9776599999999999"
"500","0.275","0.8","0.99999"
"1000","0.275","0.8","1.0"
"100","0.275","0.775","0.9965599999999999"
"500","0.275","0.775","1.0"
"1000","0.275","0.775","1.0"
"100","0.275","0.75","0.9965900000000001"
"500","0.275","0.75","1.0"
"1000","0.275","0.75","1.0"
"100","0.275","0.7","1.0"
"500","0.275","0.7","1.0"
"1000","0.275","0.7","1.0"
